input_text,target_text
Log: sshd(pam_unix)[10053]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[10053]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Failed SSH login from 65.166.159.14 due to an authentication failure.
Log: su(pam_unix)[12098]: session opened for user cyrus by (uid=0),"A session was opened for user ""cyrus""."
Log: su(pam_unix)[12098]: session closed for user cyrus,"A session was closed for user ""cyrus""."
Log: logrotate: ALERT exited abnormally with [1],The automatic log rotation process has failed to complete successfully due to an error.
Log: su(pam_unix)[13327]: session opened for user news by (uid=0),"A session was opened for user ""news""."
Log: su(pam_unix)[13327]: session closed for user news,"A session was closed for user ""news""."
Log: sshd(pam_unix)[14281]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Failed guest SSH login from 217.60.212.66 due to an authentication failure.
Log: sshd(pam_unix)[14279]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Failed guest SSH login from 217.60.212.66 due to an authentication failure.
Log: sshd(pam_unix)[14282]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Failed guest SSH login from 217.60.212.66 due to an authentication failure.
Log: sshd(pam_unix)[14277]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Failed guest SSH login from 217.60.212.66 due to an authentication failure.
Log: sshd(pam_unix)[14278]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Failed guest SSH login from 217.60.212.66 due to an authentication failure.
Log: sshd(pam_unix)[14280]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Failed guest SSH login from 217.60.212.66 due to an authentication failure.
Log: sshd(pam_unix)[16207]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16206]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16210]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16212]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16213]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16216]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16218]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16219]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16222]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16224]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16226]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16227]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16230]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16232]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16234]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16235]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16238]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16240]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16242]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16244]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16245]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16248]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: sshd(pam_unix)[16250]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Failed root SSH login from n219076184117.netvigator.com due to an authentication failure.
Log: su(pam_unix)[16663]: session opened for user cyrus by (uid=0),"A session was opened for user ""cyrus""."
Log: su(pam_unix)[16663]: session closed for user cyrus,"A session was closed for user ""cyrus""."
Log: logrotate: ALERT exited abnormally with [1],The automatic log rotation process has failed to complete successfully due to an error.
Log: su(pam_unix)[17037]: session opened for user news by (uid=0),"A session was opened for user ""news""."
Log: su(pam_unix)[17037]: session closed for user news,"A session was closed for user ""news""."
Log: sshd(pam_unix)[17129]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[17129]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Failed SSH login from ip-216-69-169-168.ip.secureserver.net due to an authentication failure.
Log: sshd(pam_unix)[17125]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[17125]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Failed SSH login from ip-216-69-169-168.ip.secureserver.net due to an authentication failure.
Log: sshd(pam_unix)[17124]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[17124]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Failed SSH login from ip-216-69-169-168.ip.secureserver.net due to an authentication failure.
Log: sshd(pam_unix)[17123]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[17123]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Failed SSH login from ip-216-69-169-168.ip.secureserver.net due to an authentication failure.
Log: sshd(pam_unix)[17132]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[17132]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Failed SSH login from ip-216-69-169-168.ip.secureserver.net due to an authentication failure.
Log: sshd(pam_unix)[17131]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[17131]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Failed SSH login from ip-216-69-169-168.ip.secureserver.net due to an authentication failure.
Log: sshd(pam_unix)[17135]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[17135]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Failed SSH login from ip-216-69-169-168.ip.secureserver.net due to an authentication failure.
Log: sshd(pam_unix)[17137]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[17137]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Failed SSH login from ip-216-69-169-168.ip.secureserver.net due to an authentication failure.
Log: sshd(pam_unix)[17139]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[17139]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Failed SSH login from ip-216-69-169-168.ip.secureserver.net due to an authentication failure.
Log: sshd(pam_unix)[17140]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[17140]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Failed SSH login from ip-216-69-169-168.ip.secureserver.net due to an authentication failure.
Log: ftpd[17886]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17889]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17887]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17888]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17890]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17893]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17879]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17892]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17876]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17875]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17877]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17874]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17882]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17872]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17881]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17878]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17873]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17885]: connection from 210.245.165.136 () at Wed Jun 22 13:16:31 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17884]: connection from 210.245.165.136 () at Wed Jun 22 13:16:31 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17880]: connection from 210.245.165.136 () at Wed Jun 22 13:16:31 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17883]: connection from 210.245.165.136 () at Wed Jun 22 13:16:31 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17891]: connection from 210.245.165.136 () at Wed Jun 22 13:16:31 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: ftpd[17894]: connection from 210.245.165.136 () at Wed Jun 22 13:16:32 2005,A successful connection to the FTP service was established from the IP address 210.245.165.136.
Log: sshd(pam_unix)[18969]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,Failed guest SSH login from 209.152.168.249 due to an authentication failure.
Log: sshd(pam_unix)[18971]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,Failed guest SSH login from 209.152.168.249 due to an authentication failure.
Log: sshd(pam_unix)[18973]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,Failed guest SSH login from 209.152.168.249 due to an authentication failure.
Log: sshd(pam_unix)[18975]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,Failed guest SSH login from 209.152.168.249 due to an authentication failure.
Log: sshd(pam_unix)[18977]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,Failed guest SSH login from 209.152.168.249 due to an authentication failure.
Log: sshd(pam_unix)[18983]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,Failed guest SSH login from 209.152.168.249 due to an authentication failure.
Log: sshd(pam_unix)[18982]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,Failed guest SSH login from 209.152.168.249 due to an authentication failure.
Log: sshd(pam_unix)[18981]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,Failed guest SSH login from 209.152.168.249 due to an authentication failure.
Log: sshd(pam_unix)[18976]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,Failed guest SSH login from 209.152.168.249 due to an authentication failure.
Log: sshd(pam_unix)[18967]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,Failed guest SSH login from 209.152.168.249 due to an authentication failure.
Log: sshd(pam_unix)[19085]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[19085]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=200.60.37.201,Failed SSH login from 200.60.37.201 due to an authentication failure.
Log: su(pam_unix)[19534]: session opened for user cyrus by (uid=0),"A session was opened for user ""cyrus""."
Log: su(pam_unix)[19534]: session closed for user cyrus,"A session was closed for user ""cyrus""."
Log: logrotate: ALERT exited abnormally with [1],The automatic log rotation process has failed to complete successfully due to an error.
Log: su(pam_unix)[24180]: session opened for user news by (uid=0),"A session was opened for user ""news""."
Log: su(pam_unix)[24180]: session closed for user news,"A session was closed for user ""news""."
Log: sshd(pam_unix)[26189]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,Failed root SSH login 218.22.3.51 due to an authentication failure.
Log: sshd(pam_unix)[26188]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,Failed root SSH login 218.22.3.51 due to an authentication failure.
Log: sshd(pam_unix)[26193]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,Failed root SSH login 218.22.3.51 due to an authentication failure.
Log: sshd(pam_unix)[26182]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,Failed root SSH login 218.22.3.51 due to an authentication failure.
Log: sshd(pam_unix)[26183]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,Failed root SSH login 218.22.3.51 due to an authentication failure.
Log: sshd(pam_unix)[26184]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,Failed root SSH login 218.22.3.51 due to an authentication failure.
Log: sshd(pam_unix)[26197]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,Failed root SSH login 218.22.3.51 due to an authentication failure.
Log: sshd(pam_unix)[26198]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,Failed root SSH login 218.22.3.51 due to an authentication failure.
Log: sshd(pam_unix)[26190]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,Failed root SSH login 218.22.3.51 due to an authentication failure.
Log: su(pam_unix)[26938]: session opened for user cyrus by (uid=0),"A session was opened for user ""cyrus""."
Log: su(pam_unix)[26938]: session closed for user cyrus,"A session was closed for user ""cyrus""."
Log: logrotate: ALERT exited abnormally with [1],The automatic log rotation process has failed to complete successfully due to an error.
Log: su(pam_unix)[27311]: session opened for user news by (uid=0),"A session was opened for user ""news""."
Log: su(pam_unix)[27311]: session closed for user news,"A session was closed for user ""news""."
Log: ftpd[28568]: connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28566]: connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28562]: connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28563]: connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28565]: connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28564]: connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28567]: connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28570]: connection from 218.69.108.57 () at Fri Jun 24 18:55:18 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28571]: connection from 218.69.108.57 () at Fri Jun 24 18:55:18 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28569]: connection from 218.69.108.57 () at Fri Jun 24 18:55:18 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28572]: connection from 218.69.108.57 () at Fri Jun 24 18:55:18 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28574]: connection from 218.69.108.57 () at Fri Jun 24 18:55:18 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: ftpd[28573]: connection from 218.69.108.57 () at Fri Jun 24 18:55:18 2005,A successful connection to the FTP service was established from the IP address 218.69.108.57.
Log: su(pam_unix)[29690]: session opened for user cyrus by (uid=0),"A session was opened for user ""cyrus""."
Log: su(pam_unix)[29690]: session closed for user cyrus,"A session was closed for user ""cyrus""."
Log: logrotate: ALERT exited abnormally with [1],The automatic log rotation process has failed to complete successfully due to an error.
Log: su(pam_unix)[30934]: session opened for user news by (uid=0),"A session was opened for user ""news""."
Log: su(pam_unix)[30934]: session closed for user news,"A session was closed for user ""news""."
Log: sshd(pam_unix)[31031]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[31031]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,Failed SSH login from massive.merukuru.org due to an authentication failure.
Log: sshd(pam_unix)[31035]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[31035]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,Failed SSH login from massive.merukuru.org due to an authentication failure.
Log: sshd(pam_unix)[31034]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[31034]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,Failed SSH login from massive.merukuru.org due to an authentication failure.
Log: sshd(pam_unix)[31036]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[31036]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,Failed SSH login from massive.merukuru.org due to an authentication failure.
Log: sshd(pam_unix)[31025]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[31025]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,Failed SSH login from massive.merukuru.org due to an authentication failure.
Log: sshd(pam_unix)[31028]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[31028]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,Failed SSH login from massive.merukuru.org due to an authentication failure.
Log: sshd(pam_unix)[31020]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[31020]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,Failed SSH login from massive.merukuru.org due to an authentication failure.
Log: sshd(pam_unix)[31027]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[31027]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,Failed SSH login from massive.merukuru.org due to an authentication failure.
Log: sshd(pam_unix)[31021]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[31021]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,Failed SSH login from massive.merukuru.org due to an authentication failure.
Log: sshd(pam_unix)[31024]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[31024]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,Failed SSH login from massive.merukuru.org due to an authentication failure.
Log: ftpd[31475]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31477]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31474]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31476]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31473]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31467]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31470]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31465]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31472]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31468]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31463]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31471]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31469]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31462]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31464]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31466]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31461]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[31460]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,A successful connection to the FTP service was established from the IP address 210.118.170.95.
Log: ftpd[32328]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32329]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32324]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32326]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32323]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32327]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32325]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32331]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32330]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32333]: connection from 211.167.68.59 () at Sat Jun 25 19:25:31 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32332]: connection from 211.167.68.59 () at Sat Jun 25 19:25:31 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32334]: connection from 211.167.68.59 () at Sat Jun 25 19:25:31 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
Log: ftpd[32335]: connection from 211.167.68.59 () at Sat Jun 25 19:25:34 2005,A successful connection to the FTP service was established from the IP address 211.167.68.59.
